time=0.000000000, qpos=[2.75 0], qvel=[0 0], normal_force=0.0, tangential_force=0.0, Fctrl=[9.9999999999997868 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.999999999999787), damping_force=np.float64(0.0), contact_flag=True, gap=0.0, contact_distance=0.0, rho=nan, mode=BOUNDARY, phase=SETTLE
time=0.006625000, qpos=[2.750023543015204 0], qvel=[0.0053701182671333511 0], normal_force=9.395973065016944, tangential_force=0.0, Fctrl=[9.8153534367817663 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.976456984795767), damping_force=np.float64(-0.16110354801400054), contact_flag=True, gap=-2.354301520401947e-05, contact_distance=-2.354301520401947e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.006750000, qpos=[2.7500242208328056 0], qvel=[0.0054225408136039533 0], normal_force=9.400469209423923, tangential_force=0.0, Fctrl=[9.8131029427860472 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.975779167194165), damping_force=np.float64(-0.1626762244081186), contact_flag=True, gap=-2.4220832805621484e-05, contact_distance=-2.4220832805621484e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.006875000, qpos=[2.7500249050978094 0], qvel=[0.0054741200302742196 0], normal_force=9.404918237224605, tangential_force=0.0, Fctrl=[9.8108713012821696 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.975094902190396), damping_force=np.float64(-0.16422360090822657), contact_flag=True, gap=-2.4905097809391208e-05, contact_distance=-2.4905097809391208e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.007000000, qpos=[2.7500255957058299 0], qvel=[0.0055248641632814153 0], normal_force=9.40932059102906, tangential_force=0.0, Fctrl=[9.8086583692714058 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.974404294169847), damping_force=np.float64(-0.16574592489844245), contact_flag=True, gap=-2.559570582993942e-05, contact_distance=-2.559570582993942e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.007125000, qpos=[2.7500262925535033 0], qvel=[0.0055747813855617084 0], normal_force=9.413676709597901, tangential_force=0.0, Fctrl=[9.8064640049296532 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.973707446496505), damping_force=np.float64(-0.16724344156685125), contact_flag=True, gap=-2.629255350328208e-05, contact_distance=-2.629255350328208e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.007250000, qpos=[2.750026995538478 0], qvel=[0.0056238797974781773 0], normal_force=9.417987027864706, tangential_force=0.0, Fctrl=[9.8042880675974828 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.973004461521828), damping_force=np.float64(-0.16871639392434531), contact_flag=True, gap=-2.6995538477958547e-05, contact_distance=-2.6995538477958547e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.007375000, qpos=[2.7500277045594066 0], qvel=[0.0056721674274447745 0], normal_force=9.422251976959034, tangential_force=0.0, Fctrl=[9.8021304177698489 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.972295440593193), damping_force=np.float64(-0.17016502282334323), contact_flag=True, gap=-2.7704559406593887e-05, contact_distance=-2.7704559406593887e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.007500000, qpos=[2.7500284195159357 0], qvel=[0.005719652232546126 0], normal_force=9.426471984227081, tangential_force=0.0, Fctrl=[9.7999909170877189 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.971580484064102), damping_force=np.float64(-0.17158956697638378), contact_flag=True, gap=-2.8419515935684814e-05, contact_distance=-2.8419515935684814e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.007625000, qpos=[2.7500291403086981 0], qvel=[0.0057663420991537059 0], normal_force=9.430647473256078, tangential_force=0.0, Fctrl=[9.7978694283271253 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.970859691301737), damping_force=np.float64(-0.17299026297461118), contact_flag=True, gap=-2.9140308698050177e-05, contact_distance=-2.9140308698050177e-05, rho=0.0, mode=CONTACT, phase=SETTLE
time=0.007750000, qpos=[2.7500298668393035 0], qvel=[0.0058122448435375873 0], normal_force=9.434778863896284, tangential_force=0.0, Fctrl=[9.7957658153901548 0], support_pos=2.76, support_vel=0.0, spring_force=np.float64(9.970133160696282), damping_force=np.float64(-0.17436734530612763), contact_flag=True, gap=-2.986683930350509e-05, contact_distance=-2.986683930350509e-05, rho=0.0, mode=CONTACT, phase=SETTLE
