time=0.000000000, qpos=[2.75 0], qvel=[0 0], normal_force=0.0, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=0.0, contact_distance=0.0, rho=nan, mode=BOUNDARY, phase=SETTLE
time=0.008500000, qpos=[2.7500346408427405 0], qvel=[0.0061546344859702146 0], normal_force=9.662095084213504, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-3.464084274051871e-05, contact_distance=-3.464084274051871e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.008625000, qpos=[2.7500354154518156 0], qvel=[0.0061968726004435265 0], normal_force=9.667894393793178, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-3.5415451815623555e-05, contact_distance=-3.5415451815623555e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.008750000, qpos=[2.7500361952500407 0], qvel=[0.006238385801219379 0], normal_force=9.673638461736086, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-3.619525004072699e-05, contact_distance=-3.619525004072699e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.008875000, qpos=[2.750036980147665 0], qvel=[0.0062791809935023686 0], normal_force=9.679327763069796, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-3.698014766495561e-05, contact_distance=-3.698014766495561e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.009000000, qpos=[2.7500377700557928 0], qvel=[0.0063192650231186443 0], normal_force=9.684962768761764, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-3.777005579275183e-05, contact_distance=-3.777005579275183e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.009125000, qpos=[2.7500385648863772 0], qvel=[0.0063586446770234235 0], normal_force=9.690543945747566, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-3.856488637721256e-05, contact_distance=-3.856488637721256e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.009250000, qpos=[2.7500393645522125 0], qvel=[0.006397326683804978 0], normal_force=9.696071756956975, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-3.936455221253965e-05, contact_distance=-3.936455221253965e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.009375000, qpos=[2.7500401689669269 0], qvel=[0.0064353177141853561 0], normal_force=9.70154666134105, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-4.01689669269345e-05, contact_distance=-4.01689669269345e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.009500000, qpos=[2.7500409780449746 0], qvel=[0.0064726243815177251 0], normal_force=9.706969113896998, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-4.0978044974604444e-05, contact_distance=-4.0978044974604444e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.009625000, qpos=[2.75004179170163 0], qvel=[0.0065092532422806005 0], normal_force=9.712339565698224, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-4.1791701629989575e-05, contact_distance=-4.1791701629989575e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.009750000, qpos=[2.7500426098529798 0], qvel=[0.0065452107965683227 0], normal_force=9.71765846391904, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-4.260985297976916e-05, contact_distance=-4.260985297976916e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.009875000, qpos=[2.7500434324159158 0], qvel=[0.006580503488578443 0], normal_force=9.722926251861365, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-4.3432415915756195e-05, contact_distance=-4.3432415915756195e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.010000000, qpos=[2.7500442593081291 0], qvel=[0.0066151377070957727 0], normal_force=9.728143368984494, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-4.4259308129124264e-05, contact_distance=-4.4259308129124264e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
