time=0.000000000, qpos=[2.75 0], qvel=[0 0], normal_force=0.0, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=0.0, contact_distance=0.0, rho=nan, mode=BOUNDARY, phase=SETTLE
time=0.007250000, qpos=[2.7500272005273767 0], qvel=[0.0056908204550177944 0], normal_force=9.600956237388989, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-2.7200527376702865e-05, contact_distance=-2.7200527376702865e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.007375000, qpos=[2.7500279181149923 0], qvel=[0.0057407009253441707 0], normal_force=9.60733500165595, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-2.7918114992253606e-05, contact_distance=-2.7918114992253606e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.007500000, qpos=[2.7500286418379987 0], qvel=[0.0057897840501371766 0], normal_force=9.613653544984315, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-2.8641837998666375e-05, contact_distance=-2.8641837998666375e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.007625000, qpos=[2.7500293715976682 0], qvel=[0.0058380773570141375 0], normal_force=9.619912384431101, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-2.9371597668248484e-05, contact_distance=-2.9371597668248484e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.007750000, qpos=[2.7500301072962068 0], qvel=[0.0058855883089602504 0], normal_force=9.626112032735811, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-3.0107296206782763e-05, contact_distance=-3.0107296206782763e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.007875000, qpos=[2.7500308488367451 0], qvel=[0.005932324304868274 0], normal_force=9.632252998344777, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-3.084883674508987e-05, contact_distance=-3.084883674508987e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.008000000, qpos=[2.7500315961233301 0], qvel=[0.0059782926800751764 0], normal_force=9.638335785434501, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-3.15961233301465e-05, contact_distance=-3.15961233301465e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.008125000, qpos=[2.7500323490609184 0], qvel=[0.0060235007068958632 0], normal_force=9.644360893940133, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-3.2349060918424044e-05, contact_distance=-3.2349060918424044e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.008250000, qpos=[2.7500331075553679 0], qvel=[0.0060679555951533466 0], normal_force=9.650328819580855, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-3.3107555367895e-05, contact_distance=-3.3107555367895e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.008375000, qpos=[2.7500338715134296 0], qvel=[0.0061116644927057401 0], normal_force=9.6562400538842, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-3.387151342959527e-05, contact_distance=-3.387151342959527e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
